ID,Glider,Model,Wingarea,Empty Mass,Reference Mass,MTOW,Polar,Min Speed
531,AC-4 Russia,AC-4 Russia,7.7,140.0,226.38,250.0,RUSSIA2.POL,
283,AFH 22,AFH 22,17.7,380.0,,600.0,,
480,AFH 24,AFH 24,10.3,245.0,359.47,500.0,AFH24.POL,
238,Ahrens Delphin V1,Ahrens Delphin V1,16.9,265.0,,375.0,,
256,AK-5,AK-5,10.66,282.2,361.374,485.0,AK5.POL,
462,AK-8,AK-8,9.75,233.0,362.0,440.0,84.1343:-0.6524:130.0:-0.9474:170.0:-1.838,
214,Alpin,Alpin,,,,,,
215,Alpin,Alpin T,,,,,,
75,Antares 18,Antares 18S,10.97,295.0,395.0,660.0,100.0:-0.54:120.0:-0.69:150.0:-1.11,
76,Antares 18,Antares 18T,10.97,345.0,395.0,660.0,100.0:-0.54:120.0:-0.69:150.0:-1.11,
411,Antares 20,Antares 20E,12.6,475.0,530.0,660.0,100.0:-0.52:120.0:-0.61:150.0:-0.91,
562,Antares 21E,Antares 21E,12.9,530.0,658.0,710.0,QuintusM.POL,
563,Antares 21E,Antares 20E/21,12.9,530.0,658.0,710.0,QuintusM.POL,
389,Antares 23,Antares 23E,14.75,530.0,752.0,850.0,QuintusM.POL,
390,Antares 23,Antares 23T,14.75,445.0,752.0,850.0,QuintusM.POL,
137,Apis 2,Apis 2 15m,12.4,215.0,310.0,310.0,80.0:-0.6:100.0:-0.75:140.0:-1.45,
138,Apis 2,Apis 2 M 15m,12.4,265.0,310.0,310.0,80.0:-0.6:100.0:-0.75:140.0:-1.45,
139,Apis 2,Apis 2 MCs 15m,12.4,265.0,310.0,310.0,80.0:-0.6:100.0:-0.75:140.0:-1.45,
172,Apis WR,Apis WR,,,,,,
600,Applebay Zuni II,Applebay Zuni II,10.13,238.0,358.0,544.0,110.0:-0.88:167.0:-2.21:203.72:-3.6,
337,Arcus,Arcus,15.6,430.0,702.0,850.0,ArcusT_2011.POL,
338,Arcus,Arcus E,15.6,485.0,702.0,850.0,ArcusT_2011.POL,
339,Arcus,Arcus M,15.6,510.0,702.0,850.0,ArcusT_2011.POL,
340,Arcus,Arcus T,15.6,485.0,702.0,850.0,ArcusT_2011.POL,
616,Arcus,Arcus J,15.6,485.0,702.0,850.0,ArcusT_2011.POL,
405,AS 22-2,AS 22-2,15.5,462.0,,750.0,,
497,AS 33 15m,AS 33 15m,8.8,290.0,400.0,550.0,100.0:-0.6:130.0:-0.75:160.0:-1.08,
498,AS 33 15m,AS 33 Es 15m,8.8,340.0,400.0,550.0,100.0:-0.6:130.0:-0.75:160.0:-1.08,
499,AS 33 15m,AS 33 Me 15m,8.8,405.0,400.0,550.0,100.0:-0.6:130.0:-0.75:160.0:-1.08,
494,AS 33 18m,AS 33 18m,10.0,300.0,600.0,600.0,100.0:-0.58:130.0:-0.64:160.0:-0.87,
495,AS 33 18m,AS 33 Es 18m,10.0,350.0,600.0,600.0,100.0:-0.58:130.0:-0.64:160.0:-0.87,
496,AS 33 18m,AS 33 Me 18m,10.0,415.0,600.0,600.0,100.0:-0.58:130.0:-0.64:160.0:-0.87,
504,AS 34 Me 15m,AS 34 Me 15m,10.5,380.0,325.0,525.0,-0.0020=0.0828=-1.4300,80.0
505,AS 34 Me 18m,AS 34 Me 18m,11.88,390.0,398.3,575.0,ASW28-18_2007.POL,
9,ASG 29 15m,ASG 29 15m,9.2,270.0,350.0,525.0,100.0:-0.64:120.0:-0.75:150.0:-1.13,
10,ASG 29 15m,ASG 29 E 15m,9.2,315.0,350.0,525.0,100.0:-0.64:120.0:-0.75:150.0:-1.13,
11,ASG 29 15m,ASG 29 Es 15m,9.2,315.0,350.0,525.0,100.0:-0.64:120.0:-0.75:150.0:-1.13,
554,ASG 29 15m,ASG 29 RES 15m,9.2,315.0,350.0,525.0,100.0:-0.64:120.0:-0.75:150.0:-1.13,
70,ASG 29 18m,ASG 29 18m,10.5,280.0,391.3,600.0,ASG29-18.POL,
71,ASG 29 18m,ASG 29 E 18m,10.5,325.0,391.3,600.0,ASG29-18.POL,
72,ASG 29 18m,ASG 29 Es 18m,10.5,325.0,391.3,600.0,ASG29-18.POL,
555,ASG 29 18m,ASG 29 RES 18m,10.5,325.0,391.3,600.0,ASG29-18.POL,
334,ASG 32,ASG 32,15.7,490.0,807.0,850.0,ASG32.POL,
335,ASG 32,ASG 32 EL,15.7,570.0,807.0,850.0,ASG32.POL,
336,ASG 32,ASG 32 Mi,15.7,570.0,807.0,850.0,ASG32.POL,
395,ASH 25,ASH 25,16.31,510.0,663.81,750.0,ASH2586.POL,
396,ASH 25,ASH 25 E,16.31,560.0,663.81,750.0,ASH2586.POL,
397,ASH 25,ASH 25 M,16.31,560.0,663.81,750.0,ASH2586.POL,
382,ASH 25 >= 26m,ASH 25 >= 26m,16.62,510.0,663.81,750.0,ASH2586.POL,
383,ASH 25 >= 26m,ASH 25 E >= 26m,16.62,560.0,663.81,750.0,ASH2586.POL,
385,ASH 25 >= 26m,ASH 25 M >= 26m,16.62,560.0,663.81,750.0,ASH2586.POL,
386,ASH 25 >= 26m,ASH 25 Mi >= 26m,16.62,560.0,663.81,750.0,ASH2586.POL,
384,ASH 25 EB 28,ASH 25 EB 28,,,,,,
91,ASH 26,ASH 26,11.68,300.0,399.456,525.0,ASH26.POL,
92,ASH 26,ASH 26 E,11.68,390.0,399.456,525.0,ASH26.POL,
375,ASH 30 Mi,ASH 30 Mi,17.17,630.0,831,850.0,-0.001050=0.0464=-0.96,80
74,ASH 31 Mi 18m,ASH 31 Mi 18m,11.9,415.0,443.5,630.0,ASG29-18.POL,
406,ASH 31 Mi 21m,ASH 31 Mi 21m,13.2,435.0,750.0,700.0,ASH31Mi.POL,
305,ASK 13,ASK 13,17.5,386.0,488.0,480.0,ASK13.POL,
223,ASK 14,ASK 14,12.68,245.0,,260.0,,
310,ASK 16,ASK 16,19.0,470.0,,750.0,,
184,ASK 18,ASK 18,12.99,215.0,310.0,335.0,75.0:-0.613:138.0:-1.773:200.0:-4.234,
292,ASK 21,ASK 21,17.95,360.0,561.835,600.0,ASK2180.POL,
293,ASK 21,ASK 21 B,17.95,360.0,561.835,600.0,ASK2180.POL,
294,ASK 21,ASK 21 Mi,17.95,450.0,561.835,600.0,ASK2180.POL,
175,ASK 23,ASK 23,12.9,240.0,330.0,380.0,100.0:-0.85:120.0:-1.19:150.0:-2.02,
176,ASK 23,ASK 23 B,12.9,240.0,330.0,360.0,100.0:-0.85:120.0:-1.19:150.0:-2.02,
438,ASW 12,ASW 12,13.0,324.0,404.0,430.0,ASW12.POL,
135,ASW 15,ASW 15,11.0,210.0,349.0,408.0,97.56:-0.77:156.12:-1.9:195.15:-3.4,
513,ASW 15,ASW 15 B,11.0,230.0,304.7,408.0,ASW1572.POL,
515,ASW 15,ASW 15 WL,11.0,230.0,304.7,408.0,ASW1572.POL,
426,ASW 17,ASW 17,14.84,400.0,489.72,610.0,ASW1773.POL,
263,ASW 19,ASW 19,11.0,260.0,352.5,408.0,ASW19B.POL,
487,ASW 19,ASW 19 WL,11.0,260.0,352.0,454.0,ASW19B.POL,
514,ASW 19,ASW 19 B,11.0,260.0,352.0,454.0,ASW19B.POL,
136,ASW 19 Club,ASW 19 Club,11.0,260.0,352.0,408.0,ASW19B.POL,
34,ASW 20,ASW 20,10.5,280.0,360.15,525.0,ASW20C.POL,
512,ASW 20,ASW 20 WL,10.5,280.0,360.15,525.0,ASW20C.POL,
529,ASW 20,ASW 20-J,10.5,300.0,360.15,525.0,ASW20C.POL,
530,ASW 20,ASW 20-J WL,10.5,300.0,360.15,525.0,ASW20C.POL,
119,ASW 20 16.6m,ASW 20 16.6m,11.01,285.0,371.14,430.0,ASW20CL.POL,
564,ASW 20 16.6m,ASW 20-J 16.6m,11.01,305.0,371.14,430.0,ASW20CL.POL,
45,ASW 20 Top 15m,ASW 20 Top 15m,10.5,320.0,371.14,525.0,ASW20C.POL,
122,ASW 20 Top 16.6m,ASW 20 Top 16.6m,11.01,325.0,371.14,430.0,ASW20CL.POL,
418,ASW 22 22m,ASW 22 22m,14.9,400.0,610.58,750.0,ASW22M.POL,
407,ASW 22 24m,ASW 22 24m,15.49,410.0,508.0,750.0,ASW22.POL,
408,ASW 22 24m,ASW 22E 24m,15.49,460.0,508.0,750.0,ASW22.POL,
387,ASW 22 B,ASW 22 B,16.31,415.0,542.0,750.0,ASW22B.POL,
388,ASW 22 B,ASW 22 BE,16.31,465.0,542.0,750.0,ASW22B.POL,
376,ASW 22 BL,ASW 22 BL,17.0,465.0,584.0,750.0,ASW22_27.POL,
377,ASW 22 BL,ASW 22 BLE,17.0,515.0,584.0,750.0,ASW22_27.POL,
463,ASW 24,ASW 24,10.0,230.0,330.0,500.0,ASW24.POL,
464,ASW 24,ASW 24 B,10.0,230.0,330.0,500.0,ASW24.POL,
465,ASW 24,ASW 24 E,10.0,280.0,330.0,500.0,ASW24.POL,
485,ASW 24,ASW 24 WL,10.0,230.0,325.0,500.0,ASW24WL.POL,
486,ASW 24,ASW 24 E WL,10.0,280.0,325.0,500.0,ASW24WL.POL,
12,ASW 27,ASW 27,9.0,245.0,365.9,500.0,ASW27-2018.POL,
569,ASW 27,ASW 27-J,9.0,245.0,365.9,500.0,ASW27-2018.POL,
447,ASW 28,ASW 28,10.5,235.0,325.0,525.0,-0.0020=0.0828=-1.4300,80.0
448,ASW 28,ASW 28 E,10.5,285.0,325.0,525.0,-0.0020=0.0828=-1.4300,80.0
106,ASW 28 18m,ASW 28 18m,11.88,270.0,398.3,575.0,ASW28-18_2007.POL,
107,ASW 28 18m,ASW 28 E 18m,11.88,320.0,398.3,575.0,ASW28-18_2007.POL,
242,AV.36,AV.36,,,,,,
353,B12,B12,16.58,528.0,620.0,620.0,B12.POL,
445,B13,B13e,18.95,669.0,750.42,820.0,B13.POL,
239,Banjo,Banjo,10.5,105.0,,220.0,,
140,Bee,Bee,12.26,228.0,318,322.5,-0.002242=0.1008=-1.73,60
318,Bergfalke II,Bergfalke II,17.7,340.0,430.0,430.0,BERGFALK.POL,
311,Bergfalke III,Bergfalke III,17.7,340.0,430.0,430.0,BERGFALK.POL,
301,Bergfalke IV,Bergfalke IV,17.88,402.0,491.7,505.0,BERGFAL4.POL,
128,BS-1,BS-1,14.20,335.0,,460.0,,
605,C-201 Marianne,C-201B Marianne,17.185,430.0,,650.0,,
351,Calif A 21,Calif A 21,16.2,526.0,620.46,644.0,CALIF.POL,
352,Calif A 21,Calif A 21 SJ,16.2,526.0,620.46,644.0,CALIF.POL,
174,Carat,Carat,11.0,350.0,459.8,490.0,CARAT.POL,
601,CB-15 Crystal,CB-15 Crystal,,,,,,
264,Cirrus,Cirrus,10.04,202.0,307.22,390.0,CIRRUS15_2.POL,
265,Cirrus,Cirrus VTC 17.74m,12.6,276.0,330.0,400.0,80.0:-0.6:120.0:-1.1:160.0:-2.2,
257,Cirrus B 18.34m,Cirrus B 18.34m,12.6,260.0,330.0,390.0,100.0:-0.74:120.0:-1.06:150.0:-1.88,
154,Club Libelle,Club Libelle,9.8,225.0,318.5,350.0,H205.POL,
302,Condor 4,Condor 4,,,,,,
602,Cumulus CU IIf,Cumulus CU IIf,,,,,,
129,D 36,D 36,12.8,285.0,,450.0,,
266,D 37,D 37,13.0,300.0,387.4,460.0,D37.POL,
142,D 38,D 38,11.0,200.0,288.2,360.0,D38.POL,
54,D 40,D 40,9.5,284.0,388.55,500.0,D40.POL,
279,D 43 18m,D 43 18m,15.93,570.0,667.467,700.0,D43_18m.POL,
144,Delphin 1,Delphin 1,,,,,,
561,DFS Habicht,DFS Habicht,15.82,235.0,,350.0,,
267,DG 100,DG 100,11.0,230.0,332.75,418.0,DG10076_2.POL,
143,DG 100 Club,DG 100 Club,11.0,230.0,332.75,418.0,DG10076_2.POL,
354,DG 1000 18m,DG 1000M 18m,16.72,485.0,492,750.0,-0.003253=0.1548=-2.48,70
355,DG 1000 18m,DG 1000S 18m,16.72,400.0,492,750.0,-0.003253=0.1548=-2.48,70
356,DG 1000 18m,DG 1000T 18m,16.72,450.0,492,750.0,-0.003253=0.1548=-2.48,70
551,DG 1000 18m,DG 1000E neo 18m,16.72,470.0,492,750.0,-0.003253=0.1548=-2.48,70
607,DG 1000 18m,DG 1000S neo 18m,16.72,400.0,492,750.0,-0.003253=0.1548=-2.48,70
608,DG 1000 18m,DG 1000T neo 18m,16.72,450.0,492,750.0,-0.003253=0.1548=-2.48,70
