ID,Glider,Model,Manufacturer,Competition Class,Kind,Wingarea,Empty Weight,Reference Mass,MTOW,Min Speed,Polar Coeffs,Double Seater,Exclude Live,Vintage,Self-Launcher,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,SZD-56-2 Diana 2,SZD-56-2 Diana 2,Avionic,15,GL,8.64,185.0,,525.0,,,,,,,114,116,116,116,114,114,116,116,116
2,JS3 15m,JS3 15m,Jonker Sailplanes,15,GL,8.75,350,,525,,,,,,,116,116,116,116,114,114,116,116,116
3,JS3 15m,JS3 RES 15m,Jonker Sailplanes,15,MG,8.75,350,,525,,,,,,x,116,116,116,116,114,114,116,116,116
4,JS3 15m,JS3 TJ 15m,Jonker Sailplanes,15,MG,8.75,350,,525,,,,,,,116,116,116,116,114,114,116,116,116
5,Ventus 3 15m,Ventus 3 15m,Schempp-Hirth,15,GL,9.53,290,321.3,525,71.20,-0.0000036:0.0004830:-0.0254792:0.5756726:-5.1809941,,,,,116,116,116,116,114,114,116,116,116
6,Ventus 3 15m,Ventus 3F 15m,Schempp-Hirth,15,FG,9.53,340,321.3,525,71.20,-0.0000036:0.0004830:-0.0254792:0.5756726:-5.1809941,,,,,116,116,116,116,114,114,116,116,116
7,Ventus 3 15m,Ventus 3M 15m,Schempp-Hirth,15,MG,9.53,380,321.3,525,71.20,-0.0000036:0.0004830:-0.0254792:0.5756726:-5.1809941,,,,x,116,116,116,116,114,114,116,116,116
8,Ventus 3 15m,Ventus 3T 15m,Schempp-Hirth,15,MG,9.53,340,321.3,525,71.20,-0.0000036:0.0004830:-0.0254792:0.5756726:-5.1809941,,,,,116,116,116,116,114,114,116,116,116
9,ASG 29 15m,ASG 29 15m,Alexander Schleicher,15,GL,9.2,270.0,350.0,525,80.00,-0.0018576:0.0937200:-1.8100000,,,,,114,114,116,114,114,114,114,114,114
10,ASG 29 15m,ASG 29 E 15m,Alexander Schleicher,15,MG,9.2,315.0,350.0,525,80.00,-0.0018576:0.0937200:-1.8100000,,,,,114,114,116,114,114,114,114,114,114
11,ASG 29 15m,ASG 29 Es 15m,Alexander Schleicher,15,MG,9.2,315.0,350.0,525,80.00,-0.0018576:0.0937200:-1.8100000,,,,,114,114,116,114,114,114,114,114,114
12,ASW 27,ASW 27,Alexander Schleicher,15,GL,9.0,245.0,365.9,500.0,87.80,-0.0000045:0.0006748:-0.0396782:1.0232325:-10.1966945,,,,,114,114,114,114,114,114,114,114,114
13,Mü 31,Mü 31,Akaflieg München,15,GL,9.0,240.0,,500.0,,,,,,,114,114,114,114,114,114,114,114,114
15,Ventus 2,Ventus 2a,Schempp-Hirth,15,GL,9.67,240.0,326.0,525.0,71.20,-0.0000036:0.0004830:-0.0254792:0.5756726:-5.1809941,,,,,114,114,114,114,114,114,115,115,115
16,Ventus 2,Ventus 2ax,Schempp-Hirth,15,GL,9.67,240.0,326.0,525.0,71.20,-0.0000036:0.0004830:-0.0254792:0.5756726:-5.1809941,,,,,114,114,114,114,114,114,115,115,115
17,Ventus 2,Ventus 2b,Schempp-Hirth,15,GL,9.67,240.0,326.0,525.0,71.20,-0.0000036:0.0004830:-0.0254792:0.5756726:-5.1809941,,,,,114,114,114,114,114,114,114,114,114
18,Ventus 2c 15m,Ventus 2c 15m,Schempp-Hirth,15,GL,9.67,240.0,326.0,525.0,71.20,-0.0000036:0.0004830:-0.0254792:0.5756726:-5.1809941,,,,,114,114,114,114,114,114,114,114,114
19,Ventus 2c 15m,Ventus 2cM 15m,Schempp-Hirth,15,MG,9.67,340.0,326.0,525.0,71.20,-0.0000036:0.0004830:-0.0254792:0.5756726:-5.1809941,,,,x,114,114,114,114,114,114,114,114,114
20,Ventus 2c 15m,Ventus 2cT 15m,Schempp-Hirth,15,MG,9.67,290.0,326.0,525.0,71.20,-0.0000036:0.0004830:-0.0254792:0.5756726:-5.1809941,,,,,114,114,114,114,114,114,114,114,114
21,DG 800 15m,DG 800A/B 15m,DG Flugzeugbau,15,MG,10.68,340.0,468.0,,83.61,-0.0011149:0.0398828:-0.8778299,,,,x,113,113,113,113,113,113,113,113,113
22,DG 800 15m,DG 800S 15m,DG Flugzeugbau,15,GL,10.68,260.0,370.0,,72.13,-0.0012543:0.0399129:-0.7810935,,,,,113,113,113,113,113,113,113,113,113
23,DG 800 15m,DG 808C 15m,DG Flugzeugbau,15,MG,10.68,260.0,370.0,,72.13,-0.0012543:0.0399129:-0.7810935,,,,x,113,113,113,113,113,113,113,113,113
24,LAK-17 15m,LAK-17A 15m,Sportinė Aviacija,15,GL,9.06,220.0,285.0,453.0,75.00,-0.0020244:0.0866569:-1.4510163,,,,,113,113,113,113,113,113,113,113,113
25,LAK-17 15m,LAK-17A T 15m,Sportinė Aviacija,15,MG,9.06,270.0,285.0,500.0,75.00,-0.0020244:0.0866569:-1.4510163,,,,,113,113,113,113,113,113,113,113,113
26,LAK-17 15m,LAK-17B 15m,Sportinė Aviacija,15,GL,9.06,220.0,285.0,550.0,80.00,-0.0016416:0.0787200:-1.5200000,,,,,113,113,113,113,113,113,113,113,113
27,LAK-17 15m,LAK-17B FES 15m,Sportinė Aviacija,15,FG,9.06,270.0,285.0,550.0,80.00,-0.0016416:0.0787200:-1.5200000,,,,,113,113,113,113,113,113,113,113,113
28,LAK-17 15m,LAK-17B T 15m,Sportinė Aviacija,15,MG,9.06,270.0,285.0,550.0,80.00,-0.0016416:0.0787200:-1.5200000,,,,,113,113,113,113,113,113,113,113,113
29,LS 10 15m,LS 10 15m,Rolladen-Schneider,15,GL,10.27,288.0,370.0,540.0,80.00,-0.0019008:0.0873600:-1.6000000,,,,,113,113,113,113,113,113,113,113,113
30,LS 10 15m,LS 10-st 15m,Rolladen-Schneider,15,MG,10.27,338.0,370.0,540.0,80.00,-0.0019008:0.0873600:-1.6000000,,,,,113,113,113,113,113,113,113,113,113
31,SZD-56-1 Diana,SZD-56-1 Diana,PZL Bielsko,15,GL,8.15,182.0,264.06,500.0,71.00,-0.0000025:0.0003899:-0.0239837:0.6178082:-6.1448853,,,,,112,112,112,112,112,112,112,112,112
32,LS 6,LS 6,Rolladen-Schneider,15,GL,10.5,260.0,355.0,525.0,71.60,-0.0000001:0.0000311:-0.0044236:0.1557020:-2.1974432,,,,,111,111,111,111,111,111,111,111,111
33,LS 6,LS 6 neo,Rolladen-Schneider,15,GL,10.5,260.0,355.0,525.0,71.60,-0.0000001:0.0000311:-0.0044236:0.1557020:-2.1974432,,,,,112,112,112,112,112,112,112,112,112
34,ASW 20,ASW 20,Alexander Schleicher,15,GL,10.5,280.0,360.15,525.0,71.00,-0.0000017:0.0002603:-0.0163651:0.4233258:-4.3895851,,,,,110,110,110,110,110,110,110,110,110
35,DG 600,DG 600,DG Flugzeugbau,15,GL,10.95,255.0,327.0,525.0,80.00,-0.0016416:0.0715200:-1.3200000,,,,,110,110,110,110,110,110,110,110,110
36,DG 600,DG 600M,DG Flugzeugbau,15,MG,10.95,305.0,327.0,525.0,80.00,-0.0016416:0.0715200:-1.3200000,,,,x,110,110,110,110,110,110,110,110,110
37,Glasflügel 304,Glasflügel 304,Glasflügel,15,GL,9.88,235.0,353.7,450.0,71.00,-0.0000003:0.0000655:-0.0066090:0.2203565:-2.9116963,,,,,110,110,110,110,110,110,110,110,110
38,HpH 304 CZ,HpH 304 CZ,HpH Sailplanes,15,GL,9.88,235.0,310.0,450.0,95.03,-0.0036015:0.2342856:-4.6690020,,,,,110,110,110,110,110,110,110,110,110
