ID,Glider,Models,Manufacturer,Competition Class,2016,2017,2018,2019,2020
1,EB 29,EB 29D?R?,Binder,Offen,125,125,127,127,125
2,NimEta,NimEta,ETA Aircraft,Offen,125,125,127,127,125
3,EB 28,EB 28,Binder,Offen,124,124,126,126,124
4,Antares 23m,Antares 23m,Lange Aviation,Offen,123,123,125,125,123
5,Quintus,Quintus,Schempp-Hirth,Offen,123,123,125,125,123
6,Eta,Eta,ETA Aircraft,Offen,125,125,127,125,125
7,Nimbus 4,Nimbus 4[TM]?,Schempp-Hirth,Offen,124,124,124,124,124
8,ASW 22 BL,ASW 22 BLE?,Alexander Schleicher,Offen,124,124,124,124,124
9,ASH 30 Mi,ASH 30 Mi,Alexander Schleicher,Offen,124,124,126,124,124
10,ASH 25 >= 26m,ASH 25( E| M| Mi)? >= 26m,Alexander Schleicher,Offen,123,123,123,123,123
11,ASH 25 EB 28,ASH 25 EB 28,Offen,123,123,123,123,123
12,ASW 22 B,ASW 22 BE?,Alexander Schleicher,Offen,123,123,123,123,123
13,Nimbus 4D,Nimbus 4D[TM]?,Schempp-Hirth,Offen,123,123,124,123,123
14,Antares 20m,Antares 20m,Lange Aviation,Offen,120,120,122,122,120
15,Lak-20 23m,Lak-20[TM] 23m,Offen,120,120,122,122,120
16,ASH 25,ASH 25( E| M)?,Alexander Schleicher,Offen,122,122,122,122,122
17,Lak-20 26m,Lak-20[TM] 26m,Offen,122,122,122,122,122
18,Nimbus 3 25.5m,Nimbus 3[TM]? 25.5m,Schempp-Hirth,Offen,122,122,122,122,122
19,JS1C 21m,JS1C 21m,Offen,122,122,124,122,122
20,AS 22-2,AS 22-2,Alexander Schleicher,Offen,121,121,121,121,121
21,ASW 22 24m,ASW 22E? 24m,Alexander Schleicher,Offen,121,121,121,121,121
22,Nimbus 3 24.5m,Nimbus 3T? 24.5m,Schempp-Hirth,Offen,121,121,121,121,121
23,ASH 31 Mi 21m,ASH 31 Mi 21m,Alexander Schleicher,Offen,121,121,123,121,121
24,LF 20 20m,LF 20 20m,Offen,120,120,120,120,120
