Glider,Models,Manufacturer,Competition Class,2016,2017,2018,2019,2020
EB 29,EB 29D?R?,Binder,Open,125,125,127,127,125
NimEta,NimEta,ETA Aircraft,Open,125,125,127,127,125
EB 28,EB 28,Binder,Open,124,124,126,126,124
Antares 23m,Antares 23m,Lange Aviation,Open,123,123,125,125,123
Quintus,Quintus,Schempp-Hirth,Open,123,123,125,125,123
Eta,Eta,ETA Aircraft,Open,125,125,127,125,125
Nimbus 4,Nimbus 4[TM]?,Schempp-Hirth,Open,124,124,124,124,124
ASW 22 BL,ASW 22 BLE?,Alexander Schleicher,Open,124,124,124,124,124
ASH 30 Mi,ASH 30 Mi,Alexander Schleicher,Open,124,124,126,124,124
ASH 25 >= 26m,ASH 25( E| M| Mi)? >= 26m,Alexander Schleicher,Open,123,123,123,123,123
ASH 25 EB 28,ASH 25 EB 28,Binder,Open,123,123,123,123,123
ASW 22 B,ASW 22 BE?,Alexander Schleicher,Open,123,123,123,123,123
Nimbus 4D,Nimbus 4D[TM]?,Schempp-Hirth,Open,123,123,124,123,123
Antares 20m,Antares 20m,Lange Aviation,Open,120,120,122,122,120
LAK-20 23m,LAK-20[TM] 23m,Sportinė Aviacija,Open,120,120,122,122,120
ASH 25,ASH 25( E| M)?,Alexander Schleicher,Open,122,122,122,122,122
LAK-20 26m,LAK-20[TM] 26m,Sportinė Aviacija,Open,122,122,122,122,122
Nimbus 3 25.5m,Nimbus 3[TM]? 25.5m,Schempp-Hirth,Open,122,122,122,122,122
JS1C 21m,JS1C( TJ)? 21m,Jonker Sailplanes,Open,122,122,124,122,122
AS 22-2,AS 22-2,Alexander Schleicher,Open,121,121,121,121,121
ASW 22 24m,ASW 22E? 24m,Alexander Schleicher,Open,121,121,121,121,121
Nimbus 3 24.5m,Nimbus 3T? 24.5m,Schempp-Hirth,Open,121,121,121,121,121
ASH 31 Mi 21m,ASH 31 Mi 21m,Alexander Schleicher,Open,121,121,123,121,121
LF 20 20m,LF 20 20m,Lange Aviation,Open,120,120,120,120,120
Nimbus 3D,Nimbus 3D[TM]?,Schempp-Hirth,Open,120,120,120,120,120
ASW 22 22m,ASW 22 22m,Alexander Schleicher,Open,119,119,119,119,119
Nimbus 3 22.9m,Nimbus 3 22.9m,Schempp-Hirth,Open,119,119,119,119,119
LAK-17 21m,LAK-17(B|B T|B FES) 21m,Sportinė Aviacija,Open,119,119,119,119,119
Glasflügel 604 24m,Glasflügel 604 24m,Glasflügel,Open,118,118,118,118,118
